stage_ft, flow_cfs	
9.38	,	12355.91	
9.39	,	12376.22	
9.40	,	12396.53	
9.41	,	12416.84	
9.42	,	12437.17	
9.43	,	12457.50	
9.44	,	12477.83	
9.45	,	12498.18	
9.46	,	12518.53	
9.47	,	12538.89	
9.48	,	12559.25	
9.49	,	12579.62	
9.50	,	12600.00
9.51	,	12621.28	
9.52	,	12642.58	
9.53	,	12663.88	
9.54	,	12685.19	
9.55	,	12706.51	
9.56	,	12727.84	
9.57	,	12749.18	
9.58	,	12770.52	
9.59	,	12791.88	
9.60	,	12813.24	
9.61	,	12834.61	
9.62	,	12855.99	
9.63	,	12877.38	
9.64	,	12898.77	
9.65	,	12920.18	
9.66	,	12941.59	
9.67	,	12963.02	
9.68	,	12984.45	
9.69	,	13005.89	
9.70	,	13027.33	
9.71	,	13048.79	
9.72	,	13070.26	
9.73	,	13091.73	
9.74	,	13113.21	
9.75	,	13134.70	
9.76	,	13156.20	
9.77	,	13177.71	
9.78	,	13199.23	
9.79	,	13220.75	
9.80	,	13242.28	
9.81	,	13263.82	
9.82	,	13285.37	
9.83	,	13306.93	
9.84	,	13328.50	
9.85	,	13350.07	
9.86	,	13371.66	
9.87	,	13393.25	
9.88	,	13414.85	
9.89	,	13436.46	
9.90	,	13458.07	
9.91	,	13479.70	
9.92	,	13501.33	
9.93	,	13522.98	
9.94	,	13544.63	
9.95	,	13566.28	
9.96	,	13587.95	
9.97	,	13609.63	
9.98	,	13631.31	
9.99	,	13653.00	
10.00	,	13674.70	
10.01	,	13696.41	
10.02	,	13718.13	
10.03	,	13739.85	
10.04	,	13761.59	
10.05	,	13783.33	
10.06	,	13805.08	
10.07	,	13826.84	
10.08	,	13848.60	
10.09	,	13870.38	
10.10	,	13892.16	
10.11	,	13913.95	
10.12	,	13935.75	
10.13	,	13957.56	
10.14	,	13979.38	
10.15	,	14001.20	
10.16	,	14023.03	
10.17	,	14044.87	
10.18	,	14066.72	
10.19	,	14088.58	
10.20	,	14110.44	
10.21	,	14132.32	
10.22	,	14154.20	
10.23	,	14176.09	
10.24	,	14197.98	
10.25	,	14219.89	
10.26	,	14241.80	
10.27	,	14263.73	
10.28	,	14285.66	
10.29	,	14307.59	
10.30	,	14329.54	
10.31	,	14351.50	
10.32	,	14373.46	
10.33	,	14395.43	
10.34	,	14417.41	
10.35	,	14439.39	
10.36	,	14461.39	
10.37	,	14483.39	
10.38	,	14505.40	
10.39	,	14527.42	
10.40	,	14549.45	
10.41	,	14571.48	
10.42	,	14593.53	
10.43	,	14615.58	
10.44	,	14637.64	
10.45	,	14659.71	
10.46	,	14681.78	
10.47	,	14703.86	
10.48	,	14725.95	
10.49	,	14748.05	
10.50	,	14770.16	
10.51	,	14792.28	
10.52	,	14814.40	
10.53	,	14836.53	
10.54	,	14858.67	
10.55	,	14880.82	
10.56	,	14902.97	
10.57	,	14925.13	
10.58	,	14947.31	
10.59	,	14969.48	
10.60	,	14991.67	
10.61	,	15013.87	
10.62	,	15036.07	
10.63	,	15058.28	
10.64	,	15080.50	
10.65	,	15102.72	
10.66	,	15124.96	
10.67	,	15147.20	
10.68	,	15169.45	
10.69	,	15191.71	
10.70	,	15213.97	
10.71	,	15236.24	
10.72	,	15258.53	
10.73	,	15280.82	
10.74	,	15303.11	
10.75	,	15325.42	
10.76	,	15347.73	
10.77	,	15370.05	
10.78	,	15392.38	
10.79	,	15414.71	
10.80	,	15437.06	
10.81	,	15459.41	
10.82	,	15481.77	
10.83	,	15504.14	
10.84	,	15526.51	
10.85	,	15548.89	
10.86	,	15571.28	
10.87	,	15593.68	
10.88	,	15616.09	
10.89	,	15638.50	
10.90	,	15660.92	
10.91	,	15683.35	
10.92	,	15705.79	
10.93	,	15728.23	
10.94	,	15750.69	
10.95	,	15773.15	
10.96	,	15795.61	
10.97	,	15818.09	
10.98	,	15840.57	
10.99	,	15863.06	
11.00	,	15885.56	
11.01	,	15908.07	
11.02	,	15930.58	
11.03	,	15953.10	
11.04	,	15975.63	
11.05	,	15998.17	
11.06	,	16020.71	
11.07	,	16043.27	
11.08	,	16065.83	
11.09	,	16088.39	
11.10	,	16110.97	
11.11	,	16133.55	
11.12	,	16156.14	
11.13	,	16178.74	
11.14	,	16201.35	
11.15	,	16223.96	
11.16	,	16246.58	
11.17	,	16269.21	
11.18	,	16291.84	
11.19	,	16314.49	
11.20	,	16337.14	
11.21	,	16359.80	
11.22	,	16382.46	
11.23	,	16405.14	
11.24	,	16427.82	
11.25	,	16450.51	
11.26	,	16473.20	
11.27	,	16495.91	
11.28	,	16518.62	
11.29	,	16541.34	
11.30	,	16564.06	
11.31	,	16586.80	
11.32	,	16609.54	
11.33	,	16632.29	
11.34	,	16655.05	
11.35	,	16677.81	
11.36	,	16700.58	
11.37	,	16723.36	
11.38	,	16746.15	
11.39	,	16768.94	
11.40	,	16791.74	
11.41	,	16814.55	
11.42	,	16837.37	
11.43	,	16860.19	
11.44	,	16883.02	
11.45	,	16905.86	
11.46	,	16928.71	
11.47	,	16951.56	
11.48	,	16974.42	
11.49	,	16997.29	
11.50	,	17020.17	
11.51	,	17043.05	
11.52	,	17065.94	
11.53	,	17088.84	
11.54	,	17111.74	
11.55	,	17134.66	
11.56	,	17157.58	
11.57	,	17180.50	
11.58	,	17203.44	
11.59	,	17226.38	
11.60	,	17249.33	
11.61	,	17272.29	
11.62	,	17295.25	
11.63	,	17318.22	
11.64	,	17341.20	
11.65	,	17364.19	
11.66	,	17387.18	
11.67	,	17410.18	
11.68	,	17433.19	
11.69	,	17456.21	
11.70	,	17479.23	
11.71	,	17502.26	
11.72	,	17525.30	
11.73	,	17548.34	
11.74	,	17571.40	
11.75	,	17594.46	
11.76	,	17617.52	
11.77	,	17640.60	
11.78	,	17663.68	
11.79	,	17686.77	
11.80	,	17709.86	
